seg_id,s_start,s_end,iri_multi,grms,mean_speed_kmh,valid_ratio,anomaly_count,legacy_rmsa_mean,legacy_samples_count,rank_new_iri_multi,rank_legacy_rmsa
28,2800.0344707314216,2899.8515964637445,2.819235039763707,0.0434613103377754,44.6289682738859,1.0,0,0.27726141190527204,8.0,108.0,109.0
29,2900.0945023736485,2999.8136913463995,2.956573518454867,0.041044655631785,40.31322588227597,1.0,0,0.3527388993513655,9.0,104.0,78.0
30,3000.029131614303,3099.90293606715,3.6076501957658538,0.0487672639435937,35.938642097929694,1.0,0,0.4154851864659087,10.0,76.0,61.0
31,3100.0466625744293,3199.784320099886,3.888608586832942,0.0595032046962103,40.25987789133939,1.0,0,0.5500188558610318,9.0,67.0,30.0
32,3200.0613450168307,3299.7928164292343,3.708100404722928,0.0720857174761714,53.82088164463362,1.0,0,0.4533469454063471,7.0,72.0,53.0
33,3300.0768112041123,3399.718096554347,3.490862090940319,0.0701657355240867,55.831295343862095,1.0,0,0.45622074332791157,7.0,85.0,52.0
34,3400.00658969512,3499.9982919731056,5.295830514487501,0.1034845468349734,53.6918647041394,1.0,0,0.6791741153269717,6.0,28.0,3.0
35,3500.278890684554,3599.791645765523,3.910441185597991,0.0745588033159979,52.52262995438374,1.0,0,0.5123446012969591,7.0,64.0,36.0
36,3600.0722450406147,3699.7811869555367,4.840510640558271,0.0980781598448363,56.74637271389822,1.0,0,0.6111155712721515,6.0,43.0,17.0
37,3700.085103221768,3799.9079406899496,3.951243623758295,0.0834581830352807,59.306202442950514,1.0,0,0.47198566226860067,6.0,61.0,45.0
38,3800.2226412522414,3899.9174963842993,3.787933049746191,0.0800333293315671,59.15573470363783,1.0,0,0.5425835100143844,7.0,70.0,33.0
39,3900.2188634268646,3999.900487149252,3.074214752054714,0.0566672217780784,51.45466413030317,1.0,0,0.3759125844572437,7.0,99.0,69.0
40,4000.1320208502593,4099.999495478665,3.6033869855979983,0.0568005160073651,42.74691633154363,1.0,0,0.4521401555941583,8.0,77.0,55.0
41,4100.22418034024,4199.926159291586,3.502318133431782,0.046905199387888,36.13252499611237,1.0,0,0.35593131995671573,10.0,83.0,77.0
42,4200.084394063962,4299.919557874418,3.552531329832182,0.0245187910868456,16.520903960964876,1.0,0,0.24171905563195614,22.0,79.0,122.0
43,4300.070981376212,4399.980016263299,3.1626991315013573,0.0407054740367762,36.59333870048702,1.0,0,0.32701924810054317,10.0,96.0,89.0
44,4400.174209160094,4499.9628509270415,3.0131350738974394,0.0372392977003573,36.17910643974236,1.0,0,0.3073666927478742,10.0,103.0,97.0
45,4500.191938625726,4599.937395610353,3.511129359533532,0.0574605485042789,44.83809068669645,1.0,0,0.3495368010486775,8.0,82.0,80.0
46,4600.173793725738,4699.96869377961,3.239128905137137,0.0520186657666242,44.80750593732322,1.0,0,0.395864908612515,8.0,91.0,65.0
47,4700.19245042039,4799.873440808102,4.225453974577052,0.0672882730136019,41.17486539112329,1.0,0,0.457162612999782,8.0,56.0,50.0
48,4800.1104286730015,4899.878053677712,3.4944206302794383,0.056553719875304,44.356042564097706,1.0,0,0.4190805313828291,8.0,84.0,60.0
49,4900.087678923882,4999.888914554069,3.0395186460883696,0.0370573687140192,35.58680246001795,1.0,0,0.297990210777854,11.0,102.0,101.0
50,5000.06841819659,5099.906335032022,5.722113674188245,0.0886884187550832,34.178125959459024,1.0,0,0.513317385248404,10.0,21.0,35.0
51,5100.045196660864,5199.807018688171,5.207295690346783,0.0601853751994692,18.85387316150849,1.0,0,0.3837019873213993,19.0,30.0,66.0
52,5200.024902913561,5299.840875353762,4.4359600317344645,0.0703558129149103,40.23907456906374,1.0,0,0.5536599489122523,9.0,51.0,28.0
53,5300.026930071463,5399.904676310207,3.650731952127658,0.012022010369633,4.403593494537962,1.0,0,0.06761762443090184,82.0,74.0,152.0
54,5400.054455985684,5499.822283792993,2.3111280479674123,0.0238144087876616,36.62021670379539,1.0,0,0.18780840719014408,10.0,118.0,133.0
55,5500.051908154902,5599.812853499828,1.8825672489654293,0.0263472971397651,45.88714571845917,1.0,0,0.17063523056459048,8.0,135.0,136.0
56,5600.0779887859335,5699.939503681897,1.4471798914812863,0.0240616755349813,51.22672702398288,1.0,0,0.1429099457559299,7.0,145.0,142.0
57,5700.187261151529,5799.930358507594,1.9204548495003948,0.022952323439548,42.40843443296107,1.0,0,0.15808381760436885,8.0,132.0,140.0
58,5800.15707751377,5899.8502777168815,1.381056759900173,0.0189440517165879,48.0367987079755,1.0,0,0.12896760820618045,8.0,146.0,144.0
59,5900.123264994162,5999.938733741458,1.596636662424432,0.0193974383072858,44.82404055330316,1.0,0,0.13899431535067622,8.0,140.0,143.0
60,6000.116915465967,6099.911223513496,2.075322295079969,0.0177718197682704,35.482594594323366,1.0,0,0.14553763821086144,10.0,127.0,141.0
61,6100.11514869451,6199.966630995026,3.1158526783377267,0.0361820103197851,33.58043468256435,1.0,0,0.295454292962397,11.0,97.0,102.0
62,6200.154853711576,6299.980778366828,3.479881636090517,0.0538936410136234,42.36743966191688,1.0,0,0.3688728060121067,8.0,86.0,72.0
63,6300.2272159255135,6399.920148542229,2.9307273619121803,0.0484823194431468,46.98171587444947,1.0,0,0.35700149582161167,8.0,106.0,75.0
64,6400.172530401164,6499.920953672857,5.16318223375904,0.0827533028093512,38.51606606012526,1.0,0,0.46368409603506766,9.0,31.0,46.0
65,6500.064345249594,6599.805303254279,3.790240400187825,0.0563572007197952,39.2608990005379,1.0,0,0.31038964790465684,9.0,69.0,94.0
66,6600.033337235676,6699.855137562404,5.0338529053989225,0.0836146520551724,41.39393976695591,1.0,0,0.44257945787667874,9.0,35.0,56.0
67,6700.074832812845,6799.909314384794,4.143003961792807,0.0350244929964805,15.4904754298349,1.0,0,0.2551814116722905,23.0,57.0,117.0
68,6800.109059060082,6899.990500977741,2.0885206649343946,0.0336445821317713,48.57457846560563,1.0,0,0.2649544964830795,8.0,126.0,112.0
69,6900.230764228204,6999.980181782865,2.9479077003954046,0.0291795814638938,30.50681398112888,1.0,0,0.23632931166626667,11.0,105.0,125.0
70,7000.148403358823,7099.921465319713,3.0600306855017045,0.0423692446460397,39.69982841811692,1.0,0,0.3028537394653398,9.0,100.0,99.0
71,7100.170340225387,7199.92473636618,1.5746054376962482,0.0319135846063349,55.68810232824213,1.0,0,0.2364083194827856,7.0,141.0,124.0
72,7200.259257909974,7299.98958893189,1.042213626521944,0.0374391800054296,69.1954318558546,1.0,0,0.2594457739623993,5.0,153.0,115.0
73,7300.377796063902,7399.79387162064,1.642529926000459,0.0559837536428372,74.74287595511846,1.0,0,0.3657586304741921,5.0,138.0,73.0
74,7400.189436030281,7499.8621588869,1.9579755935887395,0.055637934204673,69.19542092650678,1.0,0,0.35844521921888434,5.0,131.0,74.0
75,7500.174378029434,7599.982592831911,1.810811822604272,0.0402569761216348,58.7486535972732,1.0,0,0.26680039220258495,6.0,136.0,111.0
76,7600.3220049892225,7699.900854449173,1.3380976442100216,0.041663108383753,67.80649949434056,1.0,0,0.24305309456698931,6.0,148.0,121.0
77,7700.261125705666,7799.745417799694,1.2312882421026394,0.0416568671343316,69.58142186828215,1.0,0,0.3000022577339413,5.0,151.0,100.0
78,7800.110745351213,7899.970982432386,1.134659800957655,0.0340027715499865,64.77266105729446,1.0,0,0.26103665656363095,5.0,152.0,114.0
79,7900.2825427148755,7999.88732181969,2.264907846455075,0.0172304546357931,31.86881051363397,1.0,0,0.16239361188969206,12.0,120.0,139.0
80,8000.064773055916,8099.978657633095,2.275545864109084,0.021595441459972,35.35227916927852,1.0,0,0.16992100757678721,10.0,119.0,137.0
81,8100.181300981163,8199.858598793246,2.4858151452890063,0.0323284434168071,40.84920212407879,1.0,0,0.2004852542462052,9.0,114.0,131.0
82,8200.061645726864,8299.999205758184,2.8936997785444785,0.0378285769494307,38.66390355918125,1.0,0,0.3069081224741457,9.0,107.0,98.0
83,8300.225862413485,8399.827737029502,3.466564932712714,0.0590579413183524,46.92051124044639,1.0,0,0.37354264142924454,8.0,87.0,71.0
84,8400.065327656555,8499.915065973482,4.0277538788941385,0.0462557841018507,26.83061961851653,1.0,0,0.38168912273380645,13.0,58.0,67.0
85,8500.041255305425,8599.988033284842,5.423788949681649,0.0791965360011589,31.18967903161113,1.0,0,0.49678284461816097,12.0,26.0,39.0
86,8600.175024478387,8699.907903705087,4.528993473312253,0.0619701887227604,31.65577372028421,1.0,0,0.4735252783163359,11.0,49.0,44.0
87,8700.08043742308,8799.950458318302,7.210832883975118,0.0949682543691258,14.632827931321565,1.0,0,0.6495580670860835,25.0,7.0,7.0
88,8800.015851255659,8899.983733421448,5.815082193445979,0.0737582327791896,20.10720133338071,1.0,0,0.5651849844734997,17.0,17.0,25.0
89,8900.142380275256,8999.975411294396,6.308341640894327,0.0933021607850734,28.27705149684277,1.0,0,0.5654057458119568,13.0,12.0,24.0
90,9000.12130798283,9099.922392080238,7.242612075131396,0.1099930955379344,26.704008205624405,1.0,0,0.6063824774469412,14.0,6.0,18.0
91,9100.00076718955,9199.86931272653,7.906559171474219,0.1094081119707235,15.147617048209854,1.0,0,0.6156703874337861,23.0,2.0,13.0
92,9200.005485503969,9299.82728278016,7.621179858447781,0.1260532741839992,33.863681641517644,1.0,0,0.6725016923032544,11.0,4.0,4.0
93,9300.021820301798,9399.983190824272,5.358252546706321,0.0859214030747923,37.92187426695382,1.0,0,0.5489329514917833,10.0,27.0,31.0
94,9400.177256949191,9499.876183460568,5.80485129610129,0.0738944731809457,20.391976572731632,1.0,0,0.4899128409849658,17.0,18.0,40.0
95,9500.02433854299,9599.941378945912,6.5049013752445966,0.0900102125098787,22.240208637541656,1.0,0,0.6407966446694189,16.0,10.0,8.0
96,9600.072160170896,9699.831938958883,4.902770720099114,0.0785127357386653,39.29983570450876,1.0,0,0.5889895221139486,10.0,41.0,20.0
97,9700.117150205231,9799.746385711238,4.25933227834162,0.0882330237238886,58.1758912574076,1.0,0,0.5555920100761487,6.0,55.0,27.0
98,9800.085889625978,9899.715648455664,6.61494035476391,0.144913860290621,66.452084917669,1.0,0,0.8428646031000187,5.0,9.0,1.0
99,9900.06956027582,9999.894221943594,4.638062141369715,0.1092642571451013,69.50192130286311,1.0,0,0.6249563593394664,5.0,46.0,10.0
100,10000.259044873228,10099.726900809836,3.7009999902500192,0.0863819621290179,65.92900573470273,1.0,0,0.4339822662081292,6.0,73.0,58.0
101,10100.070711108432,10199.789400138889,2.332108533998188,0.0564530319102599,63.64346719543491,1.0,0,0.2884943989081175,5.0,116.0,103.0
102,10200.11514896558,10299.705004202344,1.914889269718782,0.0474848055431627,63.07576908688612,1.0,0,0.2783042488335808,6.0,134.0,107.0
103,10300.048862472837,10399.82940754572,5.576155689430015,0.110790383117261,55.14693981717599,1.0,0,0.6150313854694571,7.0,24.0,14.0
104,10400.082399152232,10499.992438136518,2.6796873243707795,0.0491687371272061,51.74139213117053,1.0,0,0.31721436831194616,7.0,111.0,92.0
105,10500.295905835335,10599.75547964815,2.5505739111698498,0.0544398653844142,58.31400191623126,1.0,0,0.3522217743439007,6.0,112.0,79.0
106,10600.068002304515,10699.987208550792,2.2635452190564846,0.0501846008694375,59.52906494489355,1.0,0,0.3219342871008832,6.0,121.0,90.0
107,10700.28245074518,10799.900797934435,5.908527052237714,0.1080501942224447,47.30931201726172,1.0,0,0.47408976452982426,7.0,15.0,43.0
108,10800.095104444228,10899.998239143444,3.3643591828371004,0.0311314254311614,25.202902414315705,1.0,0,0.26335525879313504,15.0,88.0,113.0
109,10900.153762747734,10999.806446607234,3.102009854685953,0.0409487407218355,37.80884630728021,1.0,0,0.2773644445784291,9.0,98.0,108.0
110,11000.02898161186,11099.833488430462,3.190853328340256,0.0481980308281971,42.40785971557702,1.0,0,0.33112295026279476,9.0,92.0,86.0
111,11100.068312728505,11199.830538009946,2.7107863795737126,0.0369273726547145,40.95665020685876,1.0,0,0.2583540434181788,9.0,110.0,116.0
112,11200.033496003964,11299.813938101095,3.245094204420866,0.0547303427170925,46.98227735172055,1.0,0,0.3096400206198548,7.0,89.0,95.0
113,11300.109188554818,11399.951648061806,1.512071577063586,0.0425554600301828,65.65531952758691,1.0,0,0.2483380939004504,6.0,144.0,119.0
114,11400.332032247938,11499.75077766709,1.31009063208925,0.0401800422646195,67.02948491110678,1.0,0,0.21175201550595943,5.0,149.0,128.0
115,11500.082279049502,11599.967979370764,3.537148297318475,0.0787533502263756,62.26200476787913,1.0,0,0.34628010572594387,6.0,80.0,81.0
116,11600.3043513465,11699.876744214876,1.9913734857818757,0.0497473565619749,63.69855827361173,1.0,0,0.26864666665927617,6.0,129.0,110.0
117,11700.21622588063,11799.873434475863,2.216887706218836,0.0541164429991865,63.604195091670505,1.0,0,0.3396876503911808,5.0,123.0,84.0
118,11800.17231517899,11899.893823170136,2.324584477464174,0.0246439115143348,37.09161916561923,1.0,0,0.22784346269009575,10.0,117.0,127.0
119,11900.03686280266,11999.910322782944,3.242947893097883,0.012979752116071,12.00322055638022,1.0,0,0.11795168250921903,30.0,90.0,147.0
120,12000.129332956833,12099.751289777196,1.6168352243703863,0.0255466029256387,49.64449724746256,1.0,0,0.19176823559398773,7.0,139.0,132.0
121,12100.038609638576,12199.8751594097,2.245056126984154,0.0414981320323665,52.55216461474219,1.0,0,0.2838643134547541,7.0,122.0,104.0
