seg_id,s_start,s_end,iri_multi,grms,mean_speed_kmh,legacy_rmsa_mean,legacy_samples_count
-1,-4.080037583723336,-0.1191251849250909,9.052093140260824,0.1440221389989051,25.085014902734727,,
91,9100.00076718955,9199.86931272653,7.906559171474219,0.1094081119707235,15.147617048209854,0.6156703874337861,23.0
0,0.0694896912081588,99.87806579965373,7.673866950411015,0.1283132708869034,34.88094734363276,0.499819328769428,11.0
92,9200.005485503969,9299.82728278016,7.621179858447781,0.1260532741839992,33.863681641517644,0.6725016923032544,11.0
131,13100.070634501764,13199.845532233365,7.257768331635569,0.1302630725758272,43.451158006334325,0.7401813255765313,8.0
90,9000.12130798283,9099.922392080238,7.242612075131396,0.1099930955379344,26.704008205624405,0.6063824774469412,14.0
87,8700.08043742308,8799.950458318302,7.210832883975118,0.0949682543691258,14.632827931321565,0.6495580670860835,25.0
151,15100.075400693366,15140.68858140516,6.721756004882511,0.0959528677247812,23.60987165047471,0.6283808920950565,6.0
98,9800.085889625978,9899.715648455664,6.61494035476391,0.144913860290621,66.452084917669,0.8428646031000187,5.0
95,9500.02433854299,9599.941378945912,6.5049013752445966,0.0900102125098787,22.240208637541656,0.6407966446694189,16.0
