Time,Type,X,Y,Z,Latitude,Longitude
1753796015908,Accelerometer,0.2883351,4.0869412,0.3290131,,
1753796015919,Gyroscope,-2.7310238,0.70967215,0.88926643,,
1753796015927,Accelerometer,-1.4883357,3.839284,2.5734808,,
1753796015939,Gyroscope,-3.149466,-0.92378026,0.77167493,,
1753796015948,Accelerometer,-2.0697916,3.1310084,6.778867,,
1753796015957,Gyroscope,-2.8037167,-1.2389865,0.9656245,,
1753796015967,Accelerometer,-1.410569,3.5030923,12.162718,,
1753796015976,Gyroscope,-2.3131921,0.31719154,1.35444,,
1753796015986,Accelerometer,2.5268207,4.0031924,13.942978,,
1753796015995,Gyroscope,-1.8648175,1.2701406,1.0621412,,
1753796016004,Accelerometer,4.2963133,2.5495524,14.723038,,
1753796016014,Gyroscope,-1.1504111,2.202015,0.672104,,
1753796016025,Accelerometer,1.7910278,5.2366924,12.735799,,
1753796016033,Gyroscope,-1.0954332,3.448179,-0.016035201,,
1753796016044,Accelerometer,-0.0047856453,8.05783,7.7551384,,
1753796016054,Gyroscope,-1.652542,3.760331,-0.7698423,,
1753796016062,Accelerometer,-0.07776674,3.5413775,7.7383885,,
1753796016072,Gyroscope,-1.7649411,2.9341362,-1.2698351,,
1753796016082,Accelerometer,-4.2125645,1.6905292,12.960724,,
1753796016091,Gyroscope,-1.8238895,3.9603891,-1.4359903,,
1753796016101,Accelerometer,-9.335598,1.9992033,11.96531,,
1753796016111,Gyroscope,-2.3021967,5.222436,-0.77534014,,
1753796016120,Accelerometer,-8.913264,0.05503492,8.38804,,
1753796016129,Gyroscope,-2.5804455,4.9582367,-0.04657844,,
1753796016139,Accelerometer,-6.350551,-1.125823,7.7946196,,
1753796016149,Gyroscope,-2.2230897,3.787209,-0.3101666,,
1753796016160,Accelerometer,-11.027323,-0.3062813,11.411371,,
1753796016168,Gyroscope,-1.4350741,3.57249,-0.016340632,,
1753796016179,Accelerometer,-12.470195,-1.375873,8.068598,,
1753796016187,Gyroscope,-1.4185808,3.4350455,0.6375901,,
1753796016199,Accelerometer,-9.961321,-0.9272188,6.070591,,
1753796016207,Gyroscope,-1.5123485,3.140914,0.7958041,,
1753796016217,Accelerometer,-8.019546,0.86261255,4.430311,,
1753796016226,Gyroscope,-1.4109449,1.5218168,0.57589275,,
1753796016236,Accelerometer,-5.663811,0.80997044,-3.0197423,,
1753796016245,Gyroscope,-1.0147991,-2.3892448,0.30527967,,
1753796016255,Accelerometer,-9.044869,-1.0001999,0.57427746,,
1753796016265,Gyroscope,-1.4570652,-3.3925903,1.0169371,,
1753796016274,Accelerometer,-6.2033925,-0.71665037,5.5250273,,
1753796016284,Gyroscope,-1.4940225,-2.9726207,1.2221878,,
1753796016297,Accelerometer,-0.57188463,2.7948167,6.835098,,
1753796016305,Gyroscope,-0.9647082,-3.5248425,0.5523745,,
1753796016321,Accelerometer,-0.51445687,3.056831,6.1040907,,
1753796016327,Gyroscope,-0.36147922,-5.0153527,0.29825473,,
1753796016332,Accelerometer,-2.4670002,1.6522441,5.4628143,,
1753796016360,Gyroscope,0.010231985,-6.6252866,0.6528617,,
1753796016360,Accelerometer,-3.9649072,0.09332009,7.9274216,,
1753796016361,Gyroscope,-0.5093085,-5.947532,1.1675153,,
1753796016371,Accelerometer,-3.8297126,1.1916257,6.818348,,
1753796016380,Gyroscope,-1.6598723,-4.351037,1.5322015,,
1753796016390,Accelerometer,1.7611175,1.5218352,6.5108705,,
1753796016399,Gyroscope,-3.0416484,-2.640921,0.7231112,,
1753796016409,Accelerometer,3.2793634,3.5449667,10.920842,,
1753796016419,Gyroscope,-3.3275332,-1.4387393,-0.4754055,,
1753796016423,Location,,,,50.38687069,30.45866784
1753796016431,Accelerometer,-1.707279,1.9824536,18.181864,,
1753796016440,Gyroscope,-1.7756312,-1.0328196,-0.58322316,,
1753796016448,Accelerometer,-5.7583275,-0.34097722,16.291533,,
1753796016458,Gyroscope,-0.51511174,-0.8767437,0.18799363,,
1753796016467,Accelerometer,-3.879962,-1.1365907,10.540383,,
1753796016476,Gyroscope,-0.30130905,-0.45860672,1.0425935,,
1753796016488,Accelerometer,-3.089134,-2.3078775,8.668,,
1753796016495,Gyroscope,-0.39752024,-0.30894485,1.1604904,,
1753796016505,Accelerometer,-0.07178468,-2.4909284,8.578269,,
1753796016516,Gyroscope,-0.66355187,-0.10583232,0.43631017,,
1753796016525,Accelerometer,-1.0444671,-1.585245,9.686146,,
1753796016534,Gyroscope,-0.9121738,-0.1583667,-0.20387612,,
1753796016544,Accelerometer,-2.9671001,-1.0755738,10.249656,,
1753796016553,Gyroscope,-0.9005674,-1.1342232,-0.21273366,,
1753796016563,Accelerometer,-1.7443677,-1.9920249,11.61835,,
1753796016574,Gyroscope,-0.59360784,-1.7453934,0.006261364,,
1753796016583,Accelerometer,-1.4392828,-1.2131611,13.235898,,
1753796016592,Gyroscope,-0.42959064,-0.51358455,0.547793,,
1753796016602,Accelerometer,-2.7529426,-1.7407784,10.279566,,
1753796016611,Gyroscope,-0.4243983,-0.17119485,1.030987,,
1753796016621,Accelerometer,-1.5684953,-3.3320055,8.076973,,
1753796016633,Gyroscope,-0.60857403,0.36942047,0.9601267,,
1753796016640,Accelerometer,-0.37806597,-4.028317,6.428318,,
1753796016650,Gyroscope,-1.0908518,0.6342304,0.35567603,,
1753796016660,Accelerometer,-0.4761717,-4.6396832,5.759524,,
1753796016670,Gyroscope,-1.7563889,0.12110394,-0.19471315,,
1753796016679,Accelerometer,-0.2883351,-4.301099,7.631908,,
1753796016688,Gyroscope,-2.0917537,-0.20234896,-0.29122978,,
1753796016699,Accelerometer,-0.573081,-4.8251266,9.653843,,
1753796016708,Gyroscope,-1.9915719,0.0481056,0.020311253,,
1753796016719,Accelerometer,-2.0374885,-5.7152567,9.069994,,
1753796016727,Gyroscope,-1.6803362,-0.14004076,0.07284562,,
1753796016736,Accelerometer,-1.5900307,-5.319245,7.665407,,
1753796016746,Gyroscope,-1.3300053,-0.6174316,-0.12538,,
1753796016756,Accelerometer,-1.1581261,-4.8155556,10.082158,,
1753796016765,Gyroscope,-1.0319034,-0.20295982,-0.041691523,,
1753796016775,Accelerometer,0.44985065,-4.2951164,11.079966,,
1753796016785,Gyroscope,-0.8251256,0.12171481,-0.22892158,,
1753796016795,Accelerometer,0.5084748,-5.3144593,9.846465,,
1753796016804,Gyroscope,-0.4696023,-0.049327333,-0.59727305,,
1753796016814,Accelerometer,-2.2863421,-7.6737823,8.392825,,
1753796016823,Gyroscope,-0.015729768,-0.34009898,-0.49312058,,
1753796016833,Accelerometer,-2.3234308,-6.9858456,7.661818,,
1753796016842,Gyroscope,0.3025308,-0.77167493,-0.27137667,,
1753796016852,Accelerometer,-1.5302101,-5.5465627,8.252846,,
1753796016861,Gyroscope,0.17608178,-0.8947642,-0.06520981,,
1753796016872,Accelerometer,-0.069391854,-4.241278,9.304491,,
1753796016881,Gyroscope,-0.2536616,-0.3168861,-0.061239194,,
1753796016891,Accelerometer,1.3794622,-4.959125,8.906086,,
1753796016901,Gyroscope,-0.6189587,0.3715585,-0.3507891,,
1753796016911,Accelerometer,1.9465612,-7.143772,6.920043,,
1753796016920,Gyroscope,-0.81810063,0.38347036,-0.6339249,,
1753796016931,Accelerometer,-0.13160525,-8.213364,4.8418765,,
1753796016939,Gyroscope,-0.9619593,-0.11071924,-0.39843655,,
1753796016948,Accelerometer,-1.6833507,-7.399804,6.437889,,
1753796016958,Gyroscope,-1.1540763,0.15042545,-0.07467822,,
1753796016968,Accelerometer,-1.7922242,-6.276374,12.675978,,
1753796016979,Gyroscope,-1.3920081,2.4469717,-0.2035707,,
1753796016987,Accelerometer,0.03708875,-5.133801,9.876375,,
1753796016998,Gyroscope,-0.9109521,1.9530874,-0.5074759,,
1753796017007,Accelerometer,-0.35413775,-8.4502535,13.033705,,
1753796017016,Gyroscope,0.23716825,0.41890052,-0.3367392,,
1753796017026,Accelerometer,-0.317049,-6.5072813,7.2442703,,
1753796017035,Gyroscope,-0.03405571,-0.491288,-0.21395539,,
1753796017046,Accelerometer,-2.6883361,-7.690532,7.716853,,
1753796017055,Gyroscope,0.06185006,-0.27259842,0.0044287695,,
1753796017064,Accelerometer,-0.148355,-6.135197,7.52782,,
1753796017074,Gyroscope,-0.021838415,-0.2423606,-0.055435978,,
1753796017084,Accelerometer,1.3076776,-5.8863435,7.5517483,,
1753796017093,Gyroscope,-0.13271037,-0.3074177,-0.26068655,,
1753796017104,Accelerometer,0.7190432,-6.2991056,7.3304124,,
1753796017112,Gyroscope,-0.113162704,-0.020922119,-0.3923279,,
1753796017122,Accelerometer,-0.5599205,-5.933004,8.7577305,,
1753796017132,Gyroscope,0.03252855,-0.21792601,-0.48976085,,
1753796017141,Accelerometer,-1.9262222,-6.2919273,8.070991,,
1753796017151,Gyroscope,0.1754709,-0.58047426,-0.366977,,
1753796017162,Accelerometer,-2.1798615,-6.478567,8.602198,,
1753796017170,Gyroscope,0.20540328,-0.69745487,-0.23441936,,
1753796017180,Accelerometer,-0.56829536,-6.873383,8.149954,,
1753796017190,Gyroscope,-0.03161225,-0.7383828,0.10216714,,
1753796017200,Accelerometer,-0.124426775,-6.4474607,7.092326,,
1753796017209,Gyroscope,-0.07040217,-0.4158462,0.044134982,,
1753796017219,Accelerometer,-1.0839486,-6.422336,8.390432,,
1753796017228,Gyroscope,-0.08689552,0.49617493,-0.11438443,,
