segment,avg_latitude,avg_longitude,avg_rmsa,quality,color
1,50.38692857,30.45877463,0.8255825195421382,Добре,lightgreen
4,50.38687069,30.45866784,0.8351043114520942,Добре,lightgreen
8,50.38680712,30.45857982,0.6710935298814749,Добре,lightgreen
11,50.38675842,30.45847563,0.32398575692070436,Відмінно,green
15,50.38670193,30.45837965,0.21250655958825473,Відмінно,green
18,50.38664624,30.45828266,0.5517286923165845,Добре,lightgreen
22,50.38658843,30.45818355,0.24128460982496996,Відмінно,green
25,50.38653159,30.45807609,0.3069131746924287,Відмінно,green
29,50.386473,30.45797032,0.9823450802048186,Добре,lightgreen
32,50.38641502,30.45786227,0.24952998523215905,Відмінно,green
36,50.38635626,30.45775002,0.2979383968080809,Відмінно,green
39,50.38629527,30.45763711,0.46876565244858953,Відмінно,green
43,50.38623434,30.45752661,0.4477642603964407,Відмінно,green
46,50.38617422,30.45741064,0.38101573898929175,Відмінно,green
50,50.38611113,30.45729222,0.37344232941768424,Відмінно,green
53,50.38604574,30.45717911,0.32036715993700654,Відмінно,green
57,50.38598146,30.4570673,0.21199572046677487,Відмінно,green
60,50.38591758,30.45695395,0.28010920173930653,Відмінно,green
64,50.38585496,30.45684351,0.6254398473928828,Добре,lightgreen
67,50.3857962,30.45673436,0.693991155144983,Добре,lightgreen
71,50.38574145,30.45662895,0.6577078480296876,Добре,lightgreen
74,50.38568697,30.45653473,0.2761428334620871,Відмінно,green
78,50.38563958,30.45644064,1.1010049800851753,Задовільно,orange
81,50.38559348,30.45635438,0.5444132751704807,Добре,lightgreen
85,50.38554664,30.4562806,0.39363184662596856,Відмінно,green
88,50.3855074,30.45620973,0.13440896451219278,Відмінно,green
92,50.38547052,30.45614496,0.13320501333679177,Відмінно,green
95,50.38543899,30.45608324,0.2695736180888731,Відмінно,green
99,50.3854088,30.45602704,0.3503739244317029,Відмінно,green
102,50.38538225,30.45597826,0.39706594422693614,Відмінно,green
106,50.38535418,30.45593165,0.2985987218639325,Відмінно,green
109,50.38532246,30.45587951,0.19338083218189014,Відмінно,green
113,50.38527303,30.45583779,0.7089603786236363,Добре,lightgreen
116,50.38520808,30.45582982,0.816084133799399,Добре,lightgreen
120,50.38514196,30.4558695,0.8816505514308098,Добре,lightgreen
123,50.38507871,30.45593424,0.49316300755865267,Відмінно,green
127,50.38501836,30.45601934,0.19264150469171606,Відмінно,green
130,50.38495471,30.45610846,0.1643975174919938,Відмінно,green
134,50.3848882,30.4561937,0.1862540636976016,Відмінно,green
137,50.38482324,30.45628201,0.18435495558765744,Відмінно,green
141,50.38475865,30.4563715,0.5288408792054172,Добре,lightgreen
144,50.38469212,30.45645736,0.23511898145986768,Відмінно,green
148,50.38462281,30.45655163,0.21277845190340863,Відмінно,green
151,50.38454969,30.45664636,0.1609791211155426,Відмінно,green
155,50.38447448,30.45674719,0.44012667846687975,Відмінно,green
158,50.38440141,30.4568459,0.23329897835941657,Відмінно,green
162,50.38432861,30.45694798,0.3557326849787962,Відмінно,green
165,50.38425385,30.45705216,0.22984016762031212,Відмінно,green
169,50.38418101,30.457155,0.3763350611528683,Відмінно,green
172,50.38410844,30.45725632,0.5988367220987374,Добре,lightgreen
176,50.38403375,30.45735949,0.24260165483202997,Відмінно,green
179,50.3839563,30.45746196,0.3470450729100933,Відмінно,green
183,50.38388129,30.45756053,0.9421815871601341,Добре,lightgreen
186,50.38380706,30.45766392,0.41953110767824314,Відмінно,green
190,50.38373863,30.45776366,0.8175076827635396,Добре,lightgreen
193,50.38366357,30.45786128,0.2797268756505921,Відмінно,green
197,50.38359226,30.45795565,0.2252275592821785,Відмінно,green
200,50.38352307,30.45804658,0.25929129636048714,Відмінно,green
