# schema=2
# units: accel=m/s^2 (includes gravity), gyro=rad/s, latlon=deg WGS84, time=ms epoch anchored monotonic
# anchor: elapsedRealtimeNanos=117488395430020, currentTimeMillis=1787221552662
# device: samsung SM-S948B, android=16
# device_id=retrofit-sm-s948b-01
# nominal_rate_hz=100
# app_version=1.0
# battery_start_pct=89
# vehicle_id=95de9ea6-9c9f-4369-8b8f-bf542fa53f8d
# vehicle_type=van
# vehicle_make_model=Ford Transit
# vehicle_year=2011
# vehicle_suspension_type=torsion_beam
# vehicle_suspension_condition=worn
# vehicle_tire_size=215/75R16
# vehicle_tire_type=summer
# vehicle_load=half_load
# vehicle_mount=console
# vehicle_mount_rigid=true
# retrofit=v3.1-identity 2026-09-19 scripts/retrofit_v31.py
Time,Type,X,Y,Z,Latitude,Longitude
# event: t=1787221552675, type=accuracy_changed, sensor=gyro, accuracy=3
1787221552668,Gyroscope,0.07925971,0.08689552,0.0033597562,,
# event: t=1787221552675, type=accuracy_changed, sensor=accel, accuracy=3
1787221552668,Accelerometer,-0.44027936,0.57427746,8.178668,,
1787221552676,Gyroscope,-0.18035783,-0.25763223,0.013744458,,
1787221552677,Accelerometer,0.13878371,0.32063824,10.124033,,
1787221552685,Gyroscope,-0.20540328,-0.2753473,0.013744458,,
1787221552685,Accelerometer,0.62452674,-0.13878371,12.189038,,
1787221552693,Gyroscope,-0.009926553,-0.032833982,0.0021380268,,
1787221552694,Accelerometer,0.44506502,-0.20578274,11.569298,,
1787221552702,Gyroscope,0.1800524,0.18341215,0.00641408,,
1787221552702,Accelerometer,0.44506502,-0.031106694,10.956735,,
1787221552710,Gyroscope,0.17944153,0.22372922,-0.0027488915,,
1787221552711,Accelerometer,-0.3062813,0.59581286,8.5112705,,
1787221552719,Gyroscope,-0.0025961753,0.0025961753,0.00641408,,
1787221552719,Accelerometer,-0.34217364,0.58624154,8.630911,,
1787221552727,Gyroscope,-0.16142102,-0.23503022,0.011911863,,
1787221552728,Accelerometer,0.011964113,0.14356937,10.246066,,
1787221552736,Gyroscope,-0.12049308,-0.17455462,0.010690134,,
1787221552736,Accelerometer,0.06460621,0.18185452,11.638689,,
1787221552744,Gyroscope,0.069485866,0.027030766,0.0033597562,,
1787221552745,Accelerometer,0.31345975,0.2727818,11.638689,,
1787221552753,Gyroscope,0.16661337,0.16142102,-9.162972E-4,,
1787221552753,Accelerometer,0.12921242,0.44745782,9.741181,,
1787221552761,Gyroscope,0.073761925,0.060017463,0.0015271619,,
1787221552762,Accelerometer,-0.25124636,0.1794617,8.506484,,
1787221552770,Gyroscope,-0.08261946,-0.12812889,0.008246674,,
1787221552770,Accelerometer,0.016749758,0.19860429,9.58804,,
1787221552778,Gyroscope,-0.11866048,-0.17455462,0.008857539,,
1787221552779,Accelerometer,0.2440679,0.14356937,10.916057,,
1787221552787,Gyroscope,-0.0050396346,-0.04016436,0.004581486,,
1787221552787,Accelerometer,-0.023928227,0.14596218,11.078769,,
1787221552795,Gyroscope,0.107359484,0.090560704,3.054324E-4,,
1787221552796,Accelerometer,0.0023928226,0.45942193,10.5284195,,
1787221552804,Gyroscope,0.093309596,0.061239194,-9.162972E-4,,
1787221552805,Accelerometer,-0.13399807,0.71306115,9.083155,,
1787221552812,Gyroscope,-0.017867794,-0.060322896,0.0015271619,,
1787221552813,Accelerometer,-0.09571291,0.30388847,9.401401,,
1787221552821,Gyroscope,-0.0820086,-0.159283,0.004581486,,
1787221552822,Accelerometer,0.26081768,0.021535404,9.6071825,,
1787221552829,Gyroscope,-0.03619374,-0.07803798,0.0033597562,,
1787221552830,Accelerometer,0.3469593,0.11964113,10.899307,,
1787221552838,Gyroscope,0.06582068,0.017867794,-0.0021380268,,
1787221552839,Accelerometer,0.38285163,0.19860429,10.375279,,
1787221552846,Gyroscope,0.084757484,0.047189303,-0.0015271619,,
1787221552847,Accelerometer,0.0023928226,0.32542387,9.8727865,,
1787221552855,Gyroscope,0.031001387,-0.033444848,-0.0015271619,,
1787221552856,Accelerometer,0.033499517,0.2847459,9.32483,,
1787221552863,Gyroscope,-0.029474225,-0.10002911,0.0027488915,,
1787221552864,Accelerometer,0.03589234,0.12203395,9.676575,,
1787221552872,Gyroscope,-0.019089524,-0.09269873,-3.054324E-4,,
1787221552873,Accelerometer,-0.043070808,0.069391854,9.798609,,
1787221552880,Gyroscope,0.026725333,-0.013286309,-0.0015271619,,
1787221552881,Accelerometer,0.18664017,0.41635114,9.853643,,
1787221552890,Accelerometer,0.11006984,0.4235296,9.844072,,
1787221552889,Gyroscope,0.04444041,0.006261364,-0.0027488915,,
1787221552897,Gyroscope,0.016340632,-0.048716467,-0.0027488915,,
1787221552898,Accelerometer,0.31585258,0.40917268,9.810573,,
1787221552906,Gyroscope,-0.008093959,-0.08353576,-0.0015271619,,
1787221552907,Accelerometer,0.20578274,0.19142582,10.174282,,
1787221552915,Accelerometer,0.04546363,0.15553348,9.827323,,
1787221552914,Gyroscope,0.010231985,-0.061544627,9.162972E-4,,
1787221552924,Accelerometer,-0.16749759,0.3278167,9.745967,,
1787221552923,Gyroscope,0.042607818,-0.002290743,-0.0027488915,,
1787221552931,Gyroscope,0.038331766,-4.581486E-4,-0.0021380268,,
1787221552932,Accelerometer,-0.069391854,0.42592242,9.075976,,
1787221552940,Gyroscope,-0.011148282,-0.046273008,-9.162972E-4,,
1787221552941,Accelerometer,-0.021535404,0.18185452,10.01157,,
1787221552948,Gyroscope,-0.027641632,-0.09758565,-9.162972E-4,,
1787221552949,Accelerometer,0.17228323,0.019142581,9.944571,,
1787221552957,Gyroscope,-0.0013744457,-0.04016436,-0.0021380268,,
1787221552958,Accelerometer,0.25603202,0.35174492,10.683953,,
1787221552965,Gyroscope,0.0481056,0.006261364,-0.0058032153,,
1787221552966,Accelerometer,0.23688944,0.14596218,10.674382,,
1787221552975,Accelerometer,0.07178468,0.10767702,9.765109,,
1787221552974,Gyroscope,0.04382955,-0.0035124724,-0.0070249448,,
1787221552982,Gyroscope,0.004734202,-0.043218683,-0.0070249448,,
1787221552983,Accelerometer,0.15792629,-0.019142581,9.674182,,
1787221552991,Gyroscope,-0.03008509,-0.054825112,-0.0033597562,,
1787221552992,Accelerometer,0.46899325,0.18903299,9.712467,,
1787221552999,Gyroscope,-0.01847866,-0.03649917,-0.003970621,,
1787221553000,Accelerometer,0.11485548,0.10767702,10.317851,,
1787221553008,Gyroscope,0.0010690134,0.00320704,-0.0027488915,,
1787221553009,Accelerometer,0.13160525,0.10289137,9.944571,,
1787221553016,Gyroscope,0.00962112,-0.015729768,-0.0051923506,,
1787221553017,Accelerometer,0.26081768,0.02871387,10.234102,,
1787221553025,Gyroscope,-0.0056504994,-0.02611447,-0.003970621,,
1787221553026,Accelerometer,0.4139583,0.35174492,9.865608,,
1787221553034,Gyroscope,-0.006872229,-0.03527744,-0.004581486,,
1787221553034,Accelerometer,0.26799613,0.15792629,10.430314,,
1787221553042,Gyroscope,-0.0025961753,-0.029779658,-0.00641408,,
1787221553043,Accelerometer,0.53359944,0.22253251,9.789038,,
1787221553051,Gyroscope,-0.00320704,-0.022449281,-0.0051923506,,
1787221553051,Accelerometer,0.28713873,-0.059820566,9.91825,,
1787221553059,Gyroscope,-0.0056504994,-0.032223117,-0.0027488915,,
1787221553060,Accelerometer,0.3589234,-0.03589234,9.547362,,
1787221553068,Gyroscope,-0.009926553,-0.013286309,-0.0015271619,,
1787221553068,Accelerometer,0.2536392,0.4546363,9.573684,,
1787221553076,Gyroscope,-0.012370012,-0.0108428495,-0.0021380268,,
1787221553077,Accelerometer,0.2105684,0.16749759,10.162318,,
1787221553085,Gyroscope,-0.012370012,-0.030390523,-0.0015271619,,
1787221553085,Accelerometer,0.16031912,0.21774685,9.568898,,
1787221553093,Gyroscope,-0.008093959,-0.018784093,-0.0021380268,,
1787221553094,Accelerometer,0.28235307,0.17706887,9.702896,,
1787221553102,Gyroscope,-0.008704823,-0.016951498,-0.004581486,,
1787221553102,Accelerometer,0.38524446,0.22253251,9.913465,,
1787221553110,Gyroscope,-0.0074830935,-0.032833982,-0.003970621,,
1787221553111,Accelerometer,0.44027936,0.38524446,9.827323,,
1787221553119,Gyroscope,-0.008704823,-0.015729768,-0.0033597562,,
1787221553119,Accelerometer,0.49052864,0.28235307,9.887143,,
1787221553127,Gyroscope,-0.003817905,-0.017562363,-0.0015271619,,
1787221553128,Accelerometer,0.35413775,0.17228323,10.303494,,
1787221553136,Gyroscope,0.0010690134,-0.0016798781,-0.0015271619,,
1787221553136,Accelerometer,0.2656033,0.28235307,9.339187,,
1787221553144,Gyroscope,-0.003817905,0.0050396346,3.054324E-4,,
1787221553145,Accelerometer,0.148355,-0.059820566,9.966106,,
1787221553153,Gyroscope,-0.016035201,-0.026725333,-3.054324E-4,,
1787221553153,Accelerometer,0.20578274,0.19860429,8.865408,,
1787221553161,Gyroscope,-0.025809037,-0.002290743,-9.162972E-4,,
1787221553162,Accelerometer,0.33260235,0.44027936,9.9015,,
1787221553170,Gyroscope,-0.020311253,-0.021838415,-0.0033597562,,
1787221553170,Accelerometer,0.62452674,-0.014356935,9.879965,,
1787221553178,Gyroscope,-0.011759147,-0.03161225,-0.0027488915,,
1787221553179,Accelerometer,0.34456646,0.148355,10.24846,,
1787221553187,Gyroscope,0.015729768,-4.581486E-4,-0.0033597562,,
1787221553187,Accelerometer,0.72502524,0.44745782,9.633504,,
1787221553195,Gyroscope,0.00962112,0.016035201,-0.0027488915,,
